全部,#genre#
河北卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225732/index.m3u8?
广西卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225731/index.m3u8?
山西卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225730/index.m3u8?
陕西卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225729/index.m3u8?
贵州卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225728/index.m3u8?
青海卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225727/index.m3u8?
吉林卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225680/index.m3u8?
云南卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225664/index.m3u8?
宁夏卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225726/index.m3u8?
新疆卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225725/index.m3u8?
甘肃卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225724/index.m3u8?
西藏卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225723/index.m3u8?
内蒙古卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225667/index.m3u8?
海南卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225722/index.m3u8?
河南卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226196/index.m3u8?
厦门卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226199/index.m3u8?
南方卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226203/index.m3u8?
农林卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226204/index.m3u8?
兵团卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225530/10000100000000060000000000000079_0.smil/index.m3u8?
金鹰纪实卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226198/index.m3u8?
体育,#genre#
超级体育,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225767/index.m3u8?
CCTV5+,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225706/index.m3u8?
CCTV16,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226230/index.m3u8?
咪咕精彩足球,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226240/index.m3u8?
咪咕综合体育,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226243/index.m3u8?
咪咕全民热练,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226261/index.m3u8?
少儿,#genre#
CCTV14,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225640/index.m3u8?
KAKU少儿,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225677/index.m3u8?
金鹰卡通,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225721/index.m3u8?
黑莓动画,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225672/index.m3u8?
优漫卡通,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225665/index.m3u8?
哈哈炫动,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225720/index.m3u8?
嘉佳卡通,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226193/index.m3u8?
教育,#genre#
CETV1,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225661/index.m3u8?
CETV2,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226242/index.m3u8?
CETV4,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225937/index.m3u8?
山东教育卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225719/index.m3u8?
购物,#genre#
优购物,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226219/index.m3u8?
严选购物,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226190/index.m3u8?
家有购物,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225971/index.m3u8?
环球购物,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225972/index.m3u8?
中视购物,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225976/index.m3u8?
央广购物,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225974/index.m3u8?
风尚购物,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225970/index.m3u8?
好享购物,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225973/index.m3u8?
快乐购,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225975/index.m3u8?
轮播,#genre#
精品综合,http://zxrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225716/index.m3u8?
精品大剧,http://zxrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225714/index.m3u8?
古装剧场,http://zxrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225678/index.m3u8?
家庭剧场,http://zxrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225713/index.m3u8?
热播精选,http://zxrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225712/index.m3u8?
军旅剧场,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225669/index.m3u8?
